participation,dataset,selected_metric,compare_alphas_metric,BIN-DIV,CF-ILD,CB-ILD
117,movies,BIN-DIV,BIN-DIV,1,0,0
120,movies,CF-ILD,CF-ILD,0,1,0
121,movies,BIN-DIV,BIN-DIV,1,0,0
122,movies,CB-ILD,CB-ILD,0,0,1
127,movies,CF-ILD,CF-ILD,0,1,0
126,movies,CF-ILD,CF-ILD,0,1,0
123,movies,BIN-DIV,BIN-DIV,1,0,0
129,movies,CF-ILD,CF-ILD,0,1,0
125,movies,BIN-DIV,BIN-DIV,1,0,0
133,movies,BIN-DIV,BIN-DIV,1,0,0
131,movies,CB-ILD,CB-ILD,0,0,1
134,movies,BIN-DIV,BIN-DIV,1,0,0
135,movies,CB-ILD,CB-ILD,0,0,1
137,movies,BIN-DIV,BIN-DIV,1,0,0
138,movies,CB-ILD,CB-ILD,0,0,1
136,movies,CB-ILD,CB-ILD,0,0,1
139,movies,CF-ILD,CF-ILD,0,1,0
140,movies,BIN-DIV,BIN-DIV,1,0,0
144,movies,BIN-DIV,CF-ILD,1,0,0
145,movies,CF-ILD,CF-ILD,0,1,0
146,movies,BIN-DIV,CF-ILD,1,0,0
147,movies,CF-ILD,CF-ILD,0,1,0
150,movies,BIN-DIV,CF-ILD,1,0,0
148,movies,CB-ILD,CF-ILD,0,0,1
152,movies,CB-ILD,CF-ILD,0,0,1
151,movies,BIN-DIV,CF-ILD,1,0,0
154,movies,CB-ILD,CF-ILD,0,0,1
157,movies,CB-ILD,CF-ILD,0,0,1
155,movies,CB-ILD,CF-ILD,0,0,1
153,movies,CB-ILD,CF-ILD,0,0,1
156,movies,BIN-DIV,CF-ILD,1,0,0
158,movies,BIN-DIV,CF-ILD,1,0,0
159,movies,BIN-DIV,CF-ILD,1,0,0
160,movies,CF-ILD,CF-ILD,0,1,0
163,movies,BIN-DIV,CF-ILD,1,0,0
165,movies,CB-ILD,CF-ILD,0,0,1
166,movies,CB-ILD,CF-ILD,0,0,1
164,movies,BIN-DIV,CF-ILD,1,0,0
168,movies,BIN-DIV,CF-ILD,1,0,0
167,movies,BIN-DIV,CF-ILD,1,0,0
171,movies,BIN-DIV,CB-ILD,1,0,0
170,movies,CB-ILD,CB-ILD,0,0,1
172,movies,CF-ILD,CB-ILD,0,1,0
173,movies,BIN-DIV,CB-ILD,1,0,0
175,movies,BIN-DIV,CB-ILD,1,0,0
177,movies,CF-ILD,CB-ILD,0,1,0
178,movies,CB-ILD,CB-ILD,0,0,1
179,movies,BIN-DIV,CB-ILD,1,0,0
180,movies,CB-ILD,CB-ILD,0,0,1
181,movies,CF-ILD,CF-ILD,0,1,0
182,movies,CF-ILD,CF-ILD,0,1,0
184,movies,BIN-DIV,BIN-DIV,1,0,0
183,movies,BIN-DIV,BIN-DIV,1,0,0
185,movies,BIN-DIV,BIN-DIV,1,0,0
188,movies,CF-ILD,CB-ILD,0,1,0
187,movies,BIN-DIV,CB-ILD,1,0,0
186,movies,CB-ILD,CB-ILD,0,0,1
189,movies,BIN-DIV,CB-ILD,1,0,0
190,movies,CB-ILD,CB-ILD,0,0,1
191,movies,BIN-DIV,CB-ILD,1,0,0
193,movies,CF-ILD,CB-ILD,0,1,0
192,movies,BIN-DIV,CB-ILD,1,0,0
194,movies,BIN-DIV,CF-ILD,1,0,0
197,movies,CF-ILD,CF-ILD,0,1,0
204,books,CF-ILD,CF-ILD,0,1,0
203,books,CF-ILD,CF-ILD,0,1,0
205,books,BIN-DIV,BIN-DIV,1,0,0
210,books,BIN-DIV,BIN-DIV,1,0,0
206,books,CF-ILD,CF-ILD,0,1,0
208,books,BIN-DIV,BIN-DIV,1,0,0
207,books,CF-ILD,CF-ILD,0,1,0
211,books,BIN-DIV,BIN-DIV,1,0,0
214,books,BIN-DIV,BIN-DIV,1,0,0
213,books,CF-ILD,CF-ILD,0,1,0
215,books,CB-ILD,CB-ILD,0,0,1
212,books,CB-ILD,CB-ILD,0,0,1
219,books,CB-ILD,CB-ILD,0,0,1
220,books,CF-ILD,CF-ILD,0,1,0
224,books,BIN-DIV,BIN-DIV,1,0,0
223,books,BIN-DIV,BIN-DIV,1,0,0
225,books,CB-ILD,CB-ILD,0,0,1
227,books,BIN-DIV,BIN-DIV,1,0,0
228,books,CF-ILD,CF-ILD,0,1,0
230,books,CB-ILD,CB-ILD,0,0,1
229,books,BIN-DIV,BIN-DIV,1,0,0
231,books,BIN-DIV,BIN-DIV,1,0,0
233,books,BIN-DIV,BIN-DIV,1,0,0
232,books,CB-ILD,CB-ILD,0,0,1
235,books,CB-ILD,CB-ILD,0,0,1
234,books,BIN-DIV,BIN-DIV,1,0,0
236,books,CB-ILD,CB-ILD,0,0,1
238,books,BIN-DIV,BIN-DIV,1,0,0
239,books,BIN-DIV,BIN-DIV,1,0,0
243,books,CB-ILD,CB-ILD,0,0,1
245,books,CB-ILD,CB-ILD,0,0,1
244,books,BIN-DIV,BIN-DIV,1,0,0
246,books,CB-ILD,CB-ILD,0,0,1
248,books,BIN-DIV,BIN-DIV,1,0,0
249,books,CF-ILD,CF-ILD,0,1,0
254,books,BIN-DIV,BIN-DIV,1,0,0
251,books,CB-ILD,CB-ILD,0,0,1
253,books,CF-ILD,CF-ILD,0,1,0
252,books,BIN-DIV,BIN-DIV,1,0,0
256,books,CB-ILD,CB-ILD,0,0,1
259,books,CB-ILD,CB-ILD,0,0,1
260,books,CB-ILD,CB-ILD,0,0,1
258,books,BIN-DIV,BIN-DIV,1,0,0
261,books,CB-ILD,CB-ILD,0,0,1
262,books,CB-ILD,CB-ILD,0,0,1
263,books,CB-ILD,CB-ILD,0,0,1
265,books,CB-ILD,CB-ILD,0,0,1
264,books,CB-ILD,CB-ILD,0,0,1
266,books,CF-ILD,CF-ILD,0,1,0
270,books,BIN-DIV,BIN-DIV,1,0,0
272,books,BIN-DIV,BIN-DIV,1,0,0
275,books,CF-ILD,CF-ILD,0,1,0
271,books,CB-ILD,CB-ILD,0,0,1
274,books,CB-ILD,CB-ILD,0,0,1
273,books,BIN-DIV,BIN-DIV,1,0,0
277,books,CB-ILD,CB-ILD,0,0,1
276,books,BIN-DIV,BIN-DIV,1,0,0
279,books,CF-ILD,CF-ILD,0,1,0
280,books,CB-ILD,CB-ILD,0,0,1
281,books,CB-ILD,CB-ILD,0,0,1
282,books,BIN-DIV,BIN-DIV,1,0,0
284,books,BIN-DIV,BIN-DIV,1,0,0
285,books,CB-ILD,CB-ILD,0,0,1
290,books,CF-ILD,CF-ILD,0,1,0
288,books,BIN-DIV,BIN-DIV,1,0,0
287,books,BIN-DIV,BIN-DIV,1,0,0
289,books,CB-ILD,CB-ILD,0,0,1
291,books,BIN-DIV,BIN-DIV,1,0,0
292,books,BIN-DIV,BIN-DIV,1,0,0
293,books,BIN-DIV,BIN-DIV,1,0,0
294,books,BIN-DIV,BIN-DIV,1,0,0
295,books,CB-ILD,CB-ILD,0,0,1
296,books,CB-ILD,CB-ILD,0,0,1
299,books,BIN-DIV,BIN-DIV,1,0,0
297,books,CF-ILD,CF-ILD,0,1,0
300,books,BIN-DIV,BIN-DIV,1,0,0
298,books,CF-ILD,CF-ILD,0,1,0
302,books,CF-ILD,CF-ILD,0,1,0
303,books,CB-ILD,CB-ILD,0,0,1
304,books,CF-ILD,CF-ILD,0,1,0
305,books,CB-ILD,CB-ILD,0,0,1
306,books,BIN-DIV,BIN-DIV,1,0,0
308,books,BIN-DIV,BIN-DIV,1,0,0
309,books,BIN-DIV,BIN-DIV,1,0,0
311,books,CF-ILD,CF-ILD,0,1,0
313,books,CB-ILD,CF-ILD,0,0,1
315,books,BIN-DIV,CF-ILD,1,0,0
314,books,BIN-DIV,CF-ILD,1,0,0
316,books,BIN-DIV,CF-ILD,1,0,0
317,books,CB-ILD,CF-ILD,0,0,1
318,books,CF-ILD,CF-ILD,0,1,0
322,books,BIN-DIV,CF-ILD,1,0,0
320,books,CB-ILD,CF-ILD,0,0,1
321,books,BIN-DIV,CF-ILD,1,0,0
324,books,CF-ILD,CF-ILD,0,1,0
325,books,CB-ILD,CF-ILD,0,0,1
326,books,CF-ILD,CF-ILD,0,1,0
328,books,BIN-DIV,CF-ILD,1,0,0
329,books,BIN-DIV,CF-ILD,1,0,0
331,books,CF-ILD,CF-ILD,0,1,0
332,books,CF-ILD,CF-ILD,0,1,0
333,books,BIN-DIV,CF-ILD,1,0,0
334,books,BIN-DIV,CF-ILD,1,0,0
335,books,CB-ILD,CB-ILD,0,0,1
336,books,BIN-DIV,BIN-DIV,1,0,0
2,movies,BIN-DIV,BIN-DIV,1,0,0
3,movies,CB-ILD,CB-ILD,0,0,1
4,movies,CB-ILD,CB-ILD,0,0,1
5,movies,BIN-DIV,BIN-DIV,1,0,0
6,movies,CB-ILD,CB-ILD,0,0,1
